"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-FR-A44A-06A-11R-A24X-07",0,0,0.00844824922499212,0.32279735789335,0,0.0646773685478294,0.0463949627439667,0.00623759139909397,0.0686742908330106,0,0.0818234831533538,0,0.0371202048299071,0.121918120370001,0.0943262608242546,0.147128287394091,0,0,0.000453822786149427,0,0,0,0.01,0.297192352296868,0.973814404740878
"TCGA-HR-A2OH-06A-11R-A18U-07",0,0,0.0599203251136103,0.328451281843494,0,0,0.0223941001792806,0.0719893442544785,0.0742564509630989,0,0.129049249913413,0,0.079272353806084,0.0439201723620386,0.097739174539913,0.0930075470245893,0,0,0,0,0,0,0.04,0.205752584438338,1.02241610443406
"TCGA-D3-A2JF-06A-11R-A18S-07",0.0591297928994387,0.019423983842379,0.0719652693343775,0.129463065464869,0,0.119173432109168,0,0.0306563392113111,0.0899947172974541,0,0.0142108094971911,0.0223315907480549,0.0430231083547386,0.0938715639105073,0.179394301512801,0.100326042608124,0,0,0.027035983209586,0,0,0,0.01,0.274040088177362,0.98085399388001
"TCGA-EB-A5VV-06A-11R-A32P-07",0.182314931357163,0.192953041739206,0.0305808813872477,0.102620624999201,0,0.174955838483798,0.0187849099152823,0.00651746897875501,0.0471402529091825,0,0.0900279401967938,0,0.0290547274122305,0.00118596803593244,0.0163827353373319,0.0652997695859634,0,0.0127936868880983,0,0.0293872227738142,0,0,0,0.612540692001321,0.793827247339459
"TCGA-ER-A19O-06A-11R-A18S-07",0.0450219362744289,0,0.0149256261511578,0.167183258903111,0,0,0.00890946145291292,0.00624936495570387,0.0859852269587513,0,0.0534121485563118,0,0,0.191104185356225,0.0610223775324141,0.267416773205401,0.0350867757183898,0,0.0444211247567558,0,0,0.0192617401784363,0.02,0.246800911059147,0.986931998995198
"TCGA-FW-A3TU-06A-11R-A239-07",0.0939121173068206,0,0.267761273807494,0.10327819911737,0,0.00394172772356245,0,0,0.089622437852552,0,0.0511068022876678,0,0.0140707645910507,0.332926137828896,0.00783378276101165,0.0259843884732165,0,0,0,0.00956236825035784,0,0,0,0.493119834956907,0.871045184960424
"TCGA-EB-A6L9-06A-11R-A32P-07",0.152459894612738,0.0877186112746255,0.067442692732671,0.165467571460994,0,0.0440509310869827,0.0233610149238179,0.000904561767394512,0.133631624766782,0,0.0832494532325134,0,0.0167031024853048,0.110305581102032,0.056235487104544,0.0584694734496003,0,0,0,0,0,0,0,0.43646487540821,0.899870838612419
"TCGA-D3-A3CF-06A-11R-A18T-07",0.157677198501271,0.0936304712333078,0.0417681580768401,0.00782803338073069,0.0190216120651945,0.137607914805329,0.0367634510838092,0,0.069549630335783,0,0.0432481613670754,0,0.0421954764447818,0.100523342126155,0.110176147776002,0.109179800244677,0.0308306025590432,0,0,0,0,0,0,0.344234070994715,0.943189105908005
"TCGA-EE-A2GK-06A-11R-A18S-07",0.259159857717497,0.210496329481833,0.0431344745845289,0.079251056781061,0,0.179967773863399,0.0420153925431797,0.0081566220136577,0.0152721455669779,0,0.0556868804286706,0,0.0120096906219358,0.0404220934352165,0.0102633009559517,0.0436091293410477,0,0.00055525266504323,0,0,0,0,0,0.724168586607775,0.701878452838428
"TCGA-EE-A3JB-06A-11R-A21D-07",0,0.017108835564574,0.00210684056109695,0,0,0.129676696053622,0.00628791796412816,0.0234663788526714,0.00887644260503296,0,0.0484781017340984,0,0.0922675950848523,0.204491698138473,0.0207614334823926,0.398585100364339,0,0,0,0.0478929595947196,0,0,0.03,0.235732643744232,1.00620019264058
"TCGA-QB-AA9O-06A-11R-A39D-07",0.0513872811915211,0,0.0653198779105466,0.319744775535593,0,0.0652734501979614,0.0295510861121333,0.0730560905788997,0.0707919131228155,0,0,0.0284359433867364,0.0348357246222305,0.15059572937369,0.0424062907343918,0.0589922302193773,0,0,0.00960960701410336,0,0,0,0.04,0.211604741488253,1.01397565497782
"TCGA-D3-A2JO-06A-11R-A18S-07",0.00626979268956723,0,0.133895848440299,0.207389617594173,0,0.092930397601348,0.0360445633170445,0.035209273351027,0.0528089691336185,0,0.0434065589137965,0.00376760677171327,0,0.184910848762039,0.0880769123601361,0.0578863305464616,0.0293922420257925,0,0,0,0.0280110384929836,0,0.02,0.259825038651552,0.983399032287285
"TCGA-FS-A1ZA-06A-11R-A18T-07",0.108714150671405,0,0.134104762534934,0.123414884443478,0,0.0957948355625988,0.00340791814638845,0.0919888762167685,0.00950794239889605,0,0.0688424925777954,0.0012693018428993,0.0332685652547073,0.12682612886893,0.0645826465424093,0.126969201559797,0.0113082933789922,0,0,0,0,0,0,0.414745415774319,0.909210879628122
"TCGA-EE-A184-06A-11R-A18S-07",0.107309605850301,0,0.141280429675932,0.263829924537373,0,0.0232828378723281,0.061819568706964,0.067538006974463,0.0241442613171422,0,0.086585840666081,0,0.0359402070951819,0.0510637800674381,0.0275098541329519,0.0914193327668971,0.00611243280129691,0,0.0121639175356501,0,0,0,0.02,0.261437590507909,0.987188725172372
"TCGA-ER-A193-06A-12R-A18S-07",0.00564355037849384,0.00330360832490938,0.00133078512750654,0.143597723616001,0,0.0641672204996609,0.00542174055913293,0.00383656878910261,0.0780151566001514,0,0.0239150940618129,0.00971764192574292,0,0.438358876424958,0.0961302186784237,0.0730650454522625,0,0,0.0534967695618414,0,0,0,0.01,0.321365981996912,0.970432052169288
"TCGA-RP-A694-06A-11R-A311-07",0.118537936338538,0,0.216183462957933,0.169522724885204,0,0.101102588891271,0.00380032366653118,0.0396021495653342,0.014610035336696,0,0.0696451108882828,0,0.0156850866305169,0.0305836028964401,0.0324084410073507,0.18136545044981,0.00695308648609313,0,0,0,0,0,0,0.364756051735144,0.938776788784667
