"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-ER-A19B-06A-11R-A18S-07",0,0.0205396210606491,0.0314556020366215,0,0,0.180942834430534,0.0197703931456388,0.00589017052987049,0.0856365213008342,0,0.150775929141516,0,0.0360279112176565,0.419041889420533,0,0,0,0,0.0326823760905735,0,0.0172367516255732,0,0.46,0.0268958231063998,1.10911749449669
"TCGA-ER-A2NC-06A-11R-A18T-07",0.0561438613413549,0,0.00462213570500047,0.0467254537532582,0,0.138708521941084,0,0,0.0132241747721372,0,0.0483729524848661,0,0.11107077803383,0,0.0104952146927121,0.561626894197269,0,0,0,0,0,0.00901001307848861,0.08,0.155696889275235,1.04010515724459
"TCGA-ER-A2NH-06A-11R-A18S-07",0.0440179139214228,0,0.0481172298477286,0.383496813058353,0,0.019305979921817,0.0184821114729176,0.0535923173230372,0.0630057169382462,0,0.0839861817273079,0.0163723591306058,0.0602526568773469,0,0.0659374282227466,0.11741696563027,0.00869055265095149,0,0.0173257732772494,0,0,0,0.0600000000000001,0.184284981732011,1.0343259866261
"TCGA-FS-A4F0-06A-11R-A24X-07",0,0.00136067404422579,0.015686026731471,0,0,0.247598053267143,0,0,0.0986916800190025,0,0.190677908265835,0,0,0,0,0.266433445517423,0.00328448165003465,0,0.139263543698392,0,0.0370041868064735,0,0.99,-0.0692894149413046,1.12047981095356
"TCGA-FR-A44A-06A-11R-A24X-07",0,0,0.00844824922499212,0.32279735789335,0,0.0646773685478294,0.0463949627439667,0.00623759139909397,0.0686742908330106,0,0.0818234831533538,0,0.0371202048299071,0.121918120370001,0.0943262608242546,0.147128287394091,0,0,0.000453822786149427,0,0,0,0.01,0.297192352296868,0.973814404740878
"TCGA-HR-A2OH-06A-11R-A18U-07",0,0,0.0599203251136103,0.328451281843494,0,0,0.0223941001792806,0.0719893442544785,0.0742564509630989,0,0.129049249913413,0,0.079272353806084,0.0439201723620386,0.097739174539913,0.0930075470245893,0,0,0,0,0,0,0.04,0.205752584438338,1.02241610443406
"TCGA-D3-A2JF-06A-11R-A18S-07",0.0591297928994387,0.019423983842379,0.0719652693343775,0.129463065464869,0,0.119173432109168,0,0.0306563392113111,0.0899947172974541,0,0.0142108094971911,0.0223315907480549,0.0430231083547386,0.0938715639105073,0.179394301512801,0.100326042608124,0,0,0.027035983209586,0,0,0,0.01,0.274040088177362,0.98085399388001
"TCGA-FW-A3R5-06A-11R-A239-07",0.0844449208453124,0.00875892604586877,0.00990754047943939,0,0,0.278954824845728,0.0277290743939861,0.0303339764987967,0.0280485350271299,0,0.141054507195651,0,0.0147729796890417,0.165165842652675,0.0677648603684157,0.0349050007659681,0.0128044794827458,0,0.0291251989911547,0,0.0662293327180865,0,0.36,0.0397500009757707,1.07187743290606
"TCGA-D3-A3CC-06A-11R-A18S-07",0.239930559843332,0,0.0294158709570946,0,0,0.213623868557389,0.0143803769397728,0,0.0219266309253978,0,0.0151679229294051,0.00055535539079094,0.0197593726988557,0,0.0140640283978592,0.395916011675243,0.000584289168718397,0,0.0346757125161411,0,0,0,0.08,0.152180052562715,1.03230016698566
"TCGA-EB-A5VV-06A-11R-A32P-07",0.182314931357163,0.192953041739206,0.0305808813872477,0.102620624999201,0,0.174955838483798,0.0187849099152823,0.00651746897875501,0.0471402529091825,0,0.0900279401967938,0,0.0290547274122305,0.00118596803593244,0.0163827353373319,0.0652997695859634,0,0.0127936868880983,0,0.0293872227738142,0,0,0,0.612540692001321,0.793827247339459
