"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-ER-A19B-06A-11R-A18S-07",0,0.0912670797789792,0,0.759829312306164,0,0.108708801148082,0,0,0.0401948067667742,0,2.22044604925031e-16
"TCGA-ER-A2NC-06A-11R-A18T-07",0.0102115093615908,0,0.092712335143737,0.469701399444843,0,0.121195829194892,0.0468146803085662,0,0.0318703037750123,0,0.227493942771358
"TCGA-ER-A2NH-06A-11R-A18S-07",0,0.0504195190901819,0,0.541524756054517,0,0.0572792654425778,0,0.317822327064675,0.0329541323480479,0,0
"TCGA-FS-A4F0-06A-11R-A24X-07",0.00670026102836162,0,0,0.675959824708851,0,0.0972153200709384,0,0,0,0,0.220124594191849
"TCGA-FR-A44A-06A-11R-A24X-07",0.020542714110735,0.17811309650935,0.0333602345955582,0.159777577396416,0,0.026496393988071,0,0.225330716572039,0.0333317729507002,0,0.32304749387713
"TCGA-HR-A2OH-06A-11R-A18U-07",7.09760389774298e-05,0.12706940696397,0,0.445412589674376,0,0.0348116126196402,0,0.392635414703036,0,0,1.11022302462516e-16
"TCGA-D3-A2JF-06A-11R-A18S-07",0.0681374496438029,0,0,0.422262750897944,0,0.0824428548785138,0,0.0397801264028279,0.0580441054640441,0,0.329332712712868
"TCGA-FW-A3R5-06A-11R-A239-07",0.0381451203048036,0.00631577986784514,0.00513594995574981,0.193512212812379,0,0.0272472523556257,0.041402318107795,0.00464367985271781,0.0187418314238504,0,0.664855855319234
"TCGA-D3-A3CC-06A-11R-A18S-07",0.0307852678633502,0,0.128230422647936,0.148952838697895,0,0.0350579931529135,0,0,0.0094657190300183,0.0459964048048022,0.601511353803085
"TCGA-EB-A5VV-06A-11R-A32P-07",0.39505292331053,0.0157479714920227,0.0505100695649267,0,0,0.0179289826394676,0.377818803223086,0.0708599083613081,0.0572995117804706,0.0147818296281883,0
"TCGA-DA-A1HY-06A-11R-A18T-07",0.0117825623154505,0.567482585773378,0,0,0,0.0285285031599072,0,0,0.0160855026592181,0,0.376120846092046
"TCGA-ER-A19O-06A-11R-A18S-07",0.0284031398575633,0.0887514912838471,0.119676672377506,0,0.0682037904089282,0.0104515199369915,0.112753127388231,0.0270765078132704,0.0443189670248306,0.0127285690850363,0.487636214823795
"TCGA-EE-A2GN-06A-11R-A18S-07",0.0189215755392964,0,0,0.653260643655581,0,0.0883659482772785,0,0,0,0,0.239451832527844
"TCGA-EE-A20I-06A-11R-A18U-07",0.0262868199622023,0.0271729302856021,0.0139083803700346,0.205708786667629,0.100884887649056,0.0200222410486052,0.107386610496428,0.0135715442820014,0.023857324852771,0,0.46120047438567
"TCGA-D3-A51T-06A-11R-A266-07",0.0260605124251346,0.0187722981062997,0.00937516899748725,0.105179339996607,0.147825502669309,0.0262249264025473,0.0148088223751749,0.00676875488187463,0.0209215268582251,0,0.62406314728734
"TCGA-FW-A3TU-06A-11R-A239-07",0.013065554500329,0.011773091150319,0.0378795141395988,0.150544239727259,0,0.0260978133416975,0.0235487992635726,0.00473745575833297,0.0374749533205326,0.0111930377466502,0.683685541051709
"TCGA-D3-A8GR-06A-11R-A37K-07",0.00368311305418395,0,0.029194187803689,0.0265718076230787,0.136213985104801,0.010122993397778,0.0331998036486823,0,0.00891808055359909,0.000150184927973895,0.751945843886215
"TCGA-EB-A6L9-06A-11R-A32P-07",0.1098388111181,0.01340209389578,0.0570451991000683,0.0303605718279507,0.0238246762873698,0.00215848082606946,0.23267062387133,0.0502216124753327,0.0632090900641684,0.0313921803403394,0.385876660193491
"TCGA-D3-A3CF-06A-11R-A18T-07",0.0862686863336584,0.00139460849673448,0.0455987894810567,0.232678074556296,0,0.0295337048168577,0.0351120928138683,0.0287852920297874,0.0757991723298005,0,0.464829579141941
"TCGA-FR-A7U9-06A-11R-A352-07",0.00728308873982549,0.0216948886127584,0.0403997436296729,0,0.164380881283026,0.0124109324142318,0,0.0102906023220334,0.0375709121985684,0.0124817525425358,0.693487198257348
"TCGA-EE-A2GK-06A-11R-A18S-07",0.485760974719717,0.019434514752252,0.0505757792893955,0,0.00551105873469503,0.0184880094820968,0.283449812493619,0.0567259515175803,0.0547445813543997,0.0253093176562443,0
"TCGA-EE-A3JB-06A-11R-A21D-07",0.0114022462142384,0.0402703688974038,0.0322461333333902,0.347045707596893,0,0.0561250747638541,0,0,0.0337716139790636,0,0.479138855215157
"TCGA-QB-AA9O-06A-11R-A39D-07",0.0199251525531657,0.0165257277799816,0.0652603639096257,0.0295301796130488,0.0547752523818363,0.0183633459467252,0,0.0547522460696706,0.0203400260019549,0.0158087609790495,0.704718944764942
"TCGA-FW-A3TV-06A-11R-A239-07",0.0287462357229589,0,0,0.339331076415444,0,0.0389282629789567,0,0.0160199840723892,0.00822161031080075,0,0.56875283049945
"TCGA-EE-A3AF-06A-11R-A18S-07",0.013761400397981,0.0260803271686988,0.0398754514512457,0.0309801360382095,0.255575786300101,0.0104883959185523,0.0329735965123722,0.0144946475499281,0.00474723362329172,0,0.57102302503962
"TCGA-D3-A2JO-06A-11R-A18S-07",0.117366941727743,0.0650964745577922,0.00139888526600154,0.0648196222989721,0.0920165035230121,0.0086482387958859,0.503056887086382,0.0724269229871434,0.0751695237570683,0,0
"TCGA-FS-A1ZA-06A-11R-A18T-07",0.0220544966973184,0,0,0.53464504419671,0,0.0850714135118385,0,0.00255250267864356,0.0098769211685835,0,0.345799621746906
"TCGA-D3-A1Q6-06A-11R-A18T-07",0.0143172691739722,0.198978515685519,0,0,0,0.0579038406200912,0,0,0.050817264028743,0,0.677983110491674
"TCGA-FR-A8YD-06A-11R-A37K-07",0.00480729738251648,0,0.000168972077519297,0.245923954832357,0.0766657724406376,0.0399865407687732,0,0,0,0,0.632447462498196
"TCGA-GN-A266-06A-11R-A18T-07",0.026988770673742,0.0447752321890792,0.0111525181509101,0.586770902556282,0,0.120569655699157,0,0.0409660574041845,0.069748789002487,0,0.0990280743241588
"TCGA-EE-A184-06A-11R-A18S-07",0.0270588556995693,0.0299895325953385,0.0298001650012265,0.00952726782447303,0.125575475506663,0.0177943225678802,0.0634731768400709,0.0218164104562537,0.0110129247165667,0.0525857872487445,0.611366081543214
"TCGA-ER-A193-06A-12R-A18S-07",0.0190813881828586,0.0589598979128609,0.0894723511591046,0.109302573313371,0.0261304250262023,0.0333618884731141,0,0.0773234524853596,0.0335973443081682,0,0.55277067913896
"TCGA-ER-A42K-06A-11R-A24X-07",0.0597103372063707,0,0,0.813347622137759,0,0.0945363803635049,0,0,0,0,0.0324056602923656
"TCGA-RP-A694-06A-11R-A311-07",0.0165078198836248,0.0198419746257118,0.0137074360788254,0.0685837631576759,0.205093287616321,0.031122486526164,0,0.0103823464777877,0.0139765158726128,0.0312767095889053,0.589507660172371
"TCGA-EE-A17Y-06A-11R-A18T-07",0,0,0,0.570994701132912,0,0.0911122610131956,0,0,0.0147736695900125,0,0.32311936826388
"TCGA-EE-A20C-06A-11R-A18S-07",0.0322076091002504,0,0.0230307644144294,0.258162272610627,0,0.0469321519303575,0,0,0.00894838942955213,0,0.630718812514784
"TCGA-DA-A95V-06A-11R-A37K-07",0.0246800199783002,0.0363996926050292,0.0257016309421279,0.0907136694733896,0,0.0118550757670866,0.0276115226239622,0.0386284334438697,0.0181633594093753,0.0452843789718682,0.680962216784991
"TCGA-D3-A2JE-06A-11R-A37K-07",0.0197223308197795,0,0,0.50336587707644,0,0.10807390073803,0,0,0.0178944581943574,0,0.350943433171394
"TCGA-DA-A1I8-06A-11R-A18T-07",0,0.109365635866454,0,0.484600769435546,0,0.0689611057605747,0,0,0.00466399587348623,0,0.332408493063939
